codSubasta;aut_Fax;aut_Correo electrónico;Tipo de subasta;aut_Dirección;aut_Código;descripcion;adm_NIF;Identificador;expediente;aut_Teléfono;Forma adjudicación;Valor subasta;Lotes;Tramos entre pujas;Fecha de conclusión;adm_Nombre;Tasación;adm_Localidad;estado;autoridad;Importe del depósito;adm_Provincia;Puja mínima;Scrap;Anuncio BOE;Fecha de inicio;aut_Descripción;adm_Dirección;Cantidad reclamada;link;
SUBASTA SUB-JA-2017-6601;;;;;;vivienda en C. Ample num. 130, 8º M de PALAFRUGELL (Girona;;;0501/15;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 4 - BISBAL;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-66019&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2017-6750;;;;;;LOTE ÚNICO DE FINCA 534;;;0387/15;;;;;;;;;;Finalizada;JUZGADO 1ª INSTANCIA 2 - GIRONA;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-67506&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2017-7091;;;;;;I. Que al Tomo 2815, folio 141, Libro 378 de L'Escala;;;0573/16;;;;;;;;;;Finalizada;JUZGADO SOCIAL 23 - BARCELONA;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-70918&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2016-3898;;;;;;FINCA 8798 VIVIEND;;;0037/12;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 3 - BISBAL;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2016-38989&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JV-2017-61883;;;;;;Subasta con varios lotes. Lote 1: LOTE NÚMERO 1 FINCA REGISTRAL 8.831 INS. EN EL REGISTRO DE LA PROP. GIRONA N 1 Lote 2: LOTE NÚMERO 2 FINCA REGISTRAL NÚMERO 8.832 INSCRITA EN EL REG. DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 3: LOTE NÚMERO 3 FINCA REGISTRAL NÚMERO 8.833 INSCRITA EN EL  REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 4: LOTE NÚMERO 4 FINCA REGISITRAL NÚMERO 8.834 INSCRITA EN EL REG. DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 5: LOTE NÚMERO 5 FNCA REGISTRAL NÚMERO 8.835 INSCRITA EN EL REGIST. DE LA PROPI. DE GIRONA NÚMERO 1 Lote 6: LOTE NÚMERO 6 FINCA REGISTRAL NÚMERO 8.836 INSCRITA EN EL REG. DE LA PROPIEDAD DE GIRONA NÚM 1 Lote 7: LOTE NÚMERO 7 FINCA REGISTRAL NÚMERO 8.837 INSCRITA EN EL REG. PROPIEDAD NÚMERO 1 DE GIRONA Lote 8: LOTE NÚMERO 8 FINCA REGISTRAL NÚMERO 8.838 INSCRITA EN EL REG PROPIEDAD NÚMERO 1 DE GIRONA Lote 9: LOTE NÚMERO 9 FINCA REGISTRAL NÚMERO 8.839 INSCRITA EN EL REGI DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 10: LOTE NÚMERO 10 FINCA REGISTRAL NÚMERO 8.840 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 11: LOTE NÚMERO 11 FINCA REGISTRAL NÚMERO 8.841 INSCRITA EN EL REG. DE LA PROPIEDAD DE GIRONA NÚM. 1 Lote 12: LOTE NÚMERO 12 FINCA REGISTRAL NÚMERO 8.842 INSCRITA EN EL REG PROPIEDAD NÚMERO 1 DE GIRONA Lote 13: LOTE NÚMERO 13 FINCA REGISTRAL NÚMERO 8.843 INSCRITA EN EL REG. DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 14: LOTE NÚMERO 14 FINCA REGISTRAL NÚMERO 8.844 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 15: LOTE NÚMERO 15 FINCA REGISTRAL NÚMERO 8.845 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO1 DE GIRONA Lote 16: LOTE NÚMERO 16 FINCA REGISTRAL NÚMERO 8.846 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 17: LOTE NÚMERO 17 FINCA REGISTRAL NÚMERO 8.847 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 18: LOTE NÚMERO 18 FINCA REGISTRAL NÚMERO 8.848 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 19: LOTE NÚMERO 19 FINCA REGISTRAL NÚMERO 8.849 INSCRITA EN EL REG. DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 20: LOTE NÚMERO 20 FINCA REGISTRAL NÚMERO 8.850 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 21: LOTE NÚMERO 21 FINCA REGISTRAL NÚMERO 8.851 INSCRITA EN EL  REG. PROPIEDAD NÚMERO 1 DE GIRONA Lote 22: LOTE NÚMERO 22 FINCA REGISTRAL NÚMERO 8.857 INSCRITA EN EL REG. DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 23: LOTE NÚMERO 23 FINCA REGISTRAL NÚMERO 8.858 , INSCRITA EN EL REG. PROPIEDAD DE GIRONA NÚMERO 1 Lote 24: LOTE NÚMERO 24 FINCA REGISTRAL NÚMERO 8.859 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 25: LOTE NÚMERO 25 FINCA REGISTRAL NÚMERO 8.860 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 26: LOTE NÚMERO 26 FINCA REGISTRAL NÚMERO 8.861 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 27: LOTE NÚMERO 27 FINCA REGISTRAL NÚMERO 8.862 INSCRITA EN EL REG. DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 28: LOTE NÚMERO 28 FINCA REGISTRAL NÚMERO 8.863 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 29: LOTE NÚMERO 29 FINCA REGISTRAL NÚMERO 8.864 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 30: LOTE NÚMERO 30 FINCA REGISTRAL NÚMERO 8.865 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO  1 Lote 31: LOTE NÚMERO 31 FINCA REGISTRAL NÚMERO 8.866 INSCRITA EN EL REG. DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 32: LOTE NÚMERO 32 FINCA REGISTRAL NÚMERO 8.867 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 33: LOTE NÚMERO 33 FINCA REGISTRAL NÚMERO 8.868 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 34: LOTE NÚMERO 34 FINCA REGISTRAL NÚMERO 8.869 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 35: LOTE NÚMERO 35 FINCA REGISTRAL NÚMERO 8.870 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 36: LOTE NÚMERO 36 FINCA REGISTRAL NÚMERO 8.871 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 37: LOTE NÚMERO 37 FINCA REGISTRAL NÚMERO 8.872 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 38: LOTE NÚMERO 38 FINCA REGISTRAL NÚMERO 8.873 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 1 DE GIRONA Lote 39: LOTE NÚMERO 39 FINCA REGISTRAL NÚMERO 8.874 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 40: LOTE NÚMERO 40 FINCA REGISTRAL NÚMERO 8.875 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 41: LOTE NÚMERO 41 FINCA REGISTRAL NÚMERO 8.876 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 42: LOTE NÚMERO 42 FINCA REGISTRAL NÚMERO 8.877 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 43: LOTE NÚMERO 43 FINCA REGISTRAL NÚMERO 38.120 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 2 DE GIRONA Lote 44: LOTE NÚMERO 44 FINCA REGISTRAL NÚMERO 38.121 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 2 DE GIRONA Lote 45: LOTE NÚMERO 45 FINCA REGISTRAL NÚMERO 38.123 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 2 DE GIRONA Lote 46: LOTE NÚMERO 46 FINCA REGISTRAL NÚMERO 38.125 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 2 Lote 47: LOTE NÚMERO 47 FINCA REGISTRAL NÚMERO 38.126 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 2 DE GIRONA Lote 48: LOTE NÚMERO 48 FINCA REGISTRAL NÚMERO 38.136 INSCRITA EN EL REG DE LA PROPIEDAD NÚM. 2 DE GIRONA Lote 49: LOTE NÚMERO 49 , FINCA REGISTRAL NÚMERO 38.137 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 2 Lote 50: LOTE NÚMERO 50 FINCA REGISTRAL NÚMERO 38.140 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 2 Lote 51: LOTE NÚMERO 51 FINCA REGISTRAL NÚMERO 38.144 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 2 Lote 52: LOTE NÚMERO 52 FINCA REGISTRAL NÚMERO 38.145 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 2 Lote 53: LOTE NÚM. 53 FINCA REGISTRAL NÚMERO 38.162 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚM. 2 Lote 54: LOTE NÚMERO 54 , FINCA REGISTRAL NÚMERO 38.163 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 2 Lote 55: LOTE NÚMERO 55 FINCA REGISTRAL NÚMERO 38.164 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 2 Lote 56: LOTE NÚMERO 56 FINCA REGISTRAL NÚMERO 38.172 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 2 Lote 57: LOTE NÚMERO 57 FINCA REGISTRAL NÚMERO 38.189 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 2 Lote 58: LOTE NÚMERO 58 FINCA REGISTRAL NÚMERO 38.191 INSCRITA EN EL REG DE LA PROPIEDAD NÚMERO 2 DE GIRONA Lote 59: LOTE NÚMERO 59 FINCA REGISTRAL NÚMERO 38.193 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 2 Lote 60: LOTE NÚMERO 60 FINCA REGISTRAL NÚMERO 41.125 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 2 Lote 61: LOTE NÚMERO 61 FINCA REGISTRAL NÚMERO 16.131 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 4 Lote 62: LOTE NÚMERO 62 FINCA REGISTRAL NÚMERO 16.134 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 4 Lote 63: LOTE NÚMERO 63 FINCA REGISTRAL NÚMERO 16.136 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 4 Lote 64: LOTE NÚMERO 64 FINCA REGISTRAL NÚMERO 16.137 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 4 Lote 65: LOTE NÚMERO 65 FINCA REGISTRAL NÚMERO 16.138 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 4 Lote 66: LOTE NÚMERO 66 FINCA REGISTRAL NÚMERO 16.139 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 4 Lote 67: LOTE NÚMERO 67 FINCA REGISTRAL NÚMERO 16.141 INSCRITA EN EL REG DE LA PROPIEDAD  DE GIRONA NÚMERO 4 Lote 68: LOTE NÚMERO 68 FINCA REGISTRAL 16.142 INSCRITA EN EL REGDE LA PROPIEDAD DE GIRONA NÚMERO 4 Lote 69: LOTE NÚMERO 69 FINCA REGISTRAL NÚMERO 16.143 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 4 Lote 70: LOTE NÚMERO 70 FINCA REGISTRAL NÚMERO 23.812 INSCRITA EN EL REG DE LA PROPIEDAD DE OLOT Lote 71: LOTE NÚMERO 71 FINCAS A REGISTRALES NÚMS 2064,2065,2066 ,2067 INS. EN EL REG PROP. LLORET DE  MAR Lote 72: LOTE NÚMERO 72 FINCA REGISTRAL 33.415 INSCRITA EN EL REG DE LA PROPIEDAD DE BLANES Lote 73: LOTE NÚMERO 73 FINCA REGISTAL NÚMERO 994 INSCRITA EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO ;;;0274/15;;;;;;;;;;Finalizada;JUZGADO MERCANTIL 1 - GIRONA;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JV-2017-61883&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JV-2017-7103;;;;;;LOTE ÚNICO FINCA REGISTRAL Nº. 1203 INSCRITA EN EL RP FIGUERE;;;1179/15;;;;;;;;;;Finalizada;JUZGADO MERCANTIL 1 - GIRONA;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JV-2017-71035&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JV-2017-69734;;;;;;Subasta con varios lotes. Lote 1: LOTE NÚMERO 1 MITAD INDIVISA FINCA REGISTRAL 1.282 INSC. REG PROP GIRONA 4 Lote 2: LOTE N. 2 COMPUESTO DE 3  FINCAS : N. 353, N. 2.772, Y N.11.356  INS. REG PROP DE GIRONA NÚMERO 4 Lote 3: LOTE NÚMEO 3 FINCA REGISTRAL NÚMERO 11.046 INSC EN EL REG DE LA PROPI DE GIRONA NÚM. 4 Lote 4: LOTE NÚMERO 4 FINCA REGISTRAL NÚMERO 7.566 INS EN EL REG PROP GIRONA NÚMERO 1 Lote 5: LOTE NÚMERO 5 FINCA REGISTRAL NÚMERO 7.567 INSC REG PROP DE GIRONA NÚMERO 1 Lote 6: LOTE NÚMERO 6 FINCA REGISTRAL NÚMERO 7.568 INSCRIT REG PROPIEDAD DE GIRONA NÚM 1 Lote 7: LOTE NÚMERO 7 FINCA REGISTRAL NÚMERO 7.569 INSCR EN EL REG DE PROPI DE GIRONA NÚMERO 1 Lote 8: LOTE NÚMERO 8 FINCA REGISTRAL NÚMERO 7.570 INSCR EN EL REG DE LA PROPIEDAD DE GIRONA NÚM.1 Lote 9: LOTE NÚMERO 9 FINCA REGISTRAL NÚMERO 7.571 INS EN EL REG DE LA PROPIED DE GIRONA NÚMERO 1 Lote 10: LOTE NÚMERO 10 FINCA REGISTRAL NÚMERO 7.572 INS EN EL REG DE LA PROPIEDAD DE GIRONA NÚMERO 1 Lote 11: LOTE NÚMERO 11 FINCA REGISTRAL NÚMERO 7.573 INSCR. EN EL REG DE LA PROP GIRONA NÚM. 1 Lote 12: LOTE NÚMERO 12 FINCA REGISTRAL NÚMERO 38.343 INSC EN EL REG DE LA PROP DE GIRONA NÚMERO 2 Lote 13: LOTE NÚMERO 13 FINCA REGISTRAL NÚMERO 38.348 INSC EN EL REG PROP DE GIRONA NÚMERO 2 Lote 14: LOTE NÚMERO 14 FINCA REGISTRAL NÚMERO 38.347 INS. EN EL REG. DE LA PROP GIRONA NÚMERO 2 Lote 15: LOTE NÚMERO 15 FINCA REGISTRAL NÚMERO 2.205 INSC EN EL REG DE LA PROP DE GIRONA NÚMERO 3 Lote 16: LOTE NÚMERO 16 COMP. POR LAS FINCAS REG. Nº : 655, 2.379, 2.380,2.382,2.383,  2.384 Y 3.38;;;0264/15;;;;;;;;;;Finalizada;JUZGADO MERCANTIL 1 - GIRONA;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JV-2017-69734&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2017-7089;;;;;;VIVIENDA PISO  PRIMERO PUERTA TERCERA DE LLORET DE MAR;;;0122/13;;;;;;;;;;Cancelad;JUZGADO 1ª INST E INSTRUCC. 3 - BLANES;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-70898&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2017-7041;;;;;;URBANA. FINCA Nº 2.- VIVIENDA UNIFAMILIA;;;0527/15;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 2 - SANTA COLOMA DE FARNERS;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-70416&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2017-7091;;;;;;VIVIENDA EN PLANTA SEGUNDA PUERTA TERCERA  LLORE;;;0521/14;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 3 - BLANES;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-70910&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2017-7091;;;;;;VIVIENDA PLANTA BAJA PUERTA NUMERO 7 BLANE;;;0697/16;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 3 - BLANES;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-70913&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2017-6988;;;;;;finca nº 20886, tomo 3189 libro 515 folio 59 Registro de la Propiedad de Palamó;;;0867/13;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 1 - SANT FELIU DE GUIXOLS;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-69882&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JV-2017-7068;;;;;;LOTE ÚNICO: 80% FINCA REG. 795 INSCRITA RP Nº 1 GIRON;;;0528/12;;;;;;;;;;Finalizada;JUZGADO MERCANTIL 1 - GIRONA;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JV-2017-70683&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
